,gua,gus,wua,wus
185,0.395,20.825000000000003,0.27,54.06666666666667
186,0.395,20.825000000000003,0.27,66.23333333333333
187,0.395,20.825000000000003,0.27,78.4
188,0.395,20.825000000000003,0.36,41.9
189,0.395,20.825000000000003,0.36,54.06666666666667
190,0.395,20.825000000000003,0.36,66.23333333333333
191,0.395,20.825000000000003,0.36,78.4
192,0.395,31.75,0.09,41.9
193,0.395,31.75,0.09,54.06666666666667
194,0.395,31.75,0.09,66.23333333333333
195,0.395,31.75,0.09,78.4
196,0.395,31.75,0.18,41.9
197,0.395,31.75,0.18,54.06666666666667
198,0.395,31.75,0.18,66.23333333333333
199,0.395,31.75,0.18,78.4
200,0.395,31.75,0.27,41.9
201,0.395,31.75,0.27,54.06666666666667
202,0.395,31.75,0.27,66.23333333333333
203,0.395,31.75,0.27,78.4
204,0.395,31.75,0.36,41.9
205,0.395,31.75,0.36,54.06666666666667
206,0.395,31.75,0.36,66.23333333333333
207,0.395,31.75,0.36,78.4
208,0.395,42.675000000000004,0.09,41.9
209,0.395,42.675000000000004,0.09,54.06666666666667
210,0.395,42.675000000000004,0.09,66.23333333333333
211,0.395,42.675000000000004,0.09,78.4
212,0.395,42.675000000000004,0.18,41.9
213,0.395,42.675000000000004,0.18,54.06666666666667
214,0.395,42.675000000000004,0.18,66.23333333333333
215,0.395,42.675000000000004,0.18,78.4
216,0.395,42.675000000000004,0.27,41.9
217,0.395,42.675000000000004,0.27,54.06666666666667
218,0.395,42.675000000000004,0.27,66.23333333333333
219,0.395,42.675000000000004,0.27,78.4
220,0.395,42.675000000000004,0.36,41.9
221,0.395,42.675000000000004,0.36,54.06666666666667
222,0.395,42.675000000000004,0.36,66.23333333333333
223,0.395,42.675000000000004,0.36,78.4
224,0.395,53.6,0.09,41.9
225,0.395,53.6,0.09,54.06666666666667
226,0.395,53.6,0.09,66.23333333333333
227,0.395,53.6,0.09,78.4
228,0.395,53.6,0.18,41.9
229,0.395,53.6,0.18,54.06666666666667
230,0.395,53.6,0.18,66.23333333333333
231,0.395,53.6,0.18,78.4
232,0.395,53.6,0.27,41.9
233,0.395,53.6,0.27,54.06666666666667
234,0.395,53.6,0.27,66.23333333333333
235,0.395,53.6,0.27,78.4
236,0.395,53.6,0.36,41.9
237,0.395,53.6,0.36,54.06666666666667
238,0.395,53.6,0.36,66.23333333333333
239,0.395,53.6,0.36,78.4
240,0.5775,9.9,0.09,41.9
241,0.5775,9.9,0.09,54.06666666666667
242,0.5775,9.9,0.09,66.23333333333333
243,0.5775,9.9,0.09,78.4
244,0.5775,9.9,0.18,41.9
245,0.5775,9.9,0.18,54.06666666666667
246,0.5775,9.9,0.18,66.23333333333333
247,0.5775,9.9,0.18,78.4
248,0.5775,9.9,0.27,41.9
249,0.5775,9.9,0.27,54.06666666666667
250,0.5775,9.9,0.27,66.23333333333333
251,0.5775,9.9,0.27,78.4
252,0.5775,9.9,0.36,41.9
253,0.5775,9.9,0.36,54.06666666666667
254,0.5775,9.9,0.36,66.23333333333333
255,0.5775,9.9,0.36,78.4
